IDOrder,IDrestaurant,IDclient,date,heure,modepaiement,remise,IDcaissier,etatpaiement
C0056,R1,1,2024-01-01,13:27:00,Cash,0,3,1
C0057,R1,1,2024-01-02,18:31:00,Card,0,2,0
C0058,R1,1,2024-01-02,14:24:00,Card,0,1,0
C0059,R1,1,2024-01-02,14:19:00,Cash,0,2,0
C0060,R1,1,2024-01-02,15:33:00,Cash,0,3,0
C0061,R1,1,2024-01-02,22:13:00,Card,0,3,1
C0062,R1,1,2024-01-02,12:37:00,Cash,0,1,1
C0063,R1,1,2024-01-02,17:38:00,Cash,0,2,1
C0064,R1,1,2024-01-02,21:09:00,Card,0,2,0
C0065,R1,1,2024-01-02,18:25:00,Cash,40,1,1
C0066,R1,1,2024-01-02,12:33:00,Card,20,3,0
C0067,R1,1,2024-01-02,14:29:00,Card,0,3,0
C0068,R1,1,2024-01-02,19:00:00,Cash,20,1,1
C0069,R1,1,2024-01-02,23:45:00,Cash,0,3,0
C0070,R1,1,2024-01-02,14:37:00,Cash,0,1,1
C0071,R1,1,2024-01-02,15:02:00,Card,0,3,1
C0072,R1,1,2024-01-02,13:53:00,Cash,0,2,1
C0073,R1,1,2024-01-02,15:32:00,Card,999,3,0
C0074,R1,1,2024-01-02,13:26:00,Card,20,2,1
C0075,R1,1,2024-01-02,16:19:00,Card,0,2,1
C0076,R1,1,2024-01-02,21:14:00,Card,40,3,0
C0077,R1,1,2024-01-02,22:49:00,Cash,30,3,1
C0078,R1,1,2024-01-02,10:35:00,Card,0,2,1
C0079,R1,1,2024-01-02,13:31:00,Cash,10,3,0
C0080,R1,1,2024-01-02,22:38:00,Cash,0,1,1
C0081,R1,1,2024-01-02,15:24:00,Cash,40,1,0
C0082,R1,1,2024-01-02,19:41:00,Cash,10,2,1
C0083,R1,1,2024-01-02,17:41:00,Card,999,3,1
C0084,R1,1,2024-01-02,23:38:00,Cash,0,1,0
C0085,R1,1,2024-01-02,20:37:00,Card,0,1,1
C0086,R1,1,2024-01-02,13:10:00,Cash,0,2,1
C0087,R1,1,2024-01-02,23:34:00,Cash,10,1,0
C0088,R1,1,2024-01-02,21:45:00,Card,0,2,1
C0089,R1,1,2024-01-02,17:13:00,Cash,0,1,1
C0090,R1,1,2024-01-02,19:44:00,Cash,40,2,0
C0091,R1,1,2024-01-02,18:47:00,Cash,0,1,1
C0092,R1,1,2024-01-02,11:20:00,Cash,0,1,1
C0093,R1,1,2024-01-02,10:51:00,Cash,20,3,0
C0094,R1,1,2024-01-02,21:06:00,Card,10,1,0
C0095,R1,1,2024-01-02,15:44:00,Cash,40,2,1
C0096,R1,1,2024-01-02,19:24:00,Card,0,1,0
C0097,R1,1,2024-01-02,15:26:00,Cash,40,1,0
C0098,R1,1,2024-01-02,19:05:00,Cash,0,2,0
C0099,R1,1,2024-01-02,12:52:00,Card,0,2,1
C0100,R1,1,2024-01-02,15:40:00,Card,30,3,1
C0101,R1,1,2024-01-02,15:01:00,Card,0,1,1
C0102,R1,1,2024-01-02,23:16:00,Card,0,1,1
C0103,R1,1,2024-01-02,22:30:00,Cash,0,2,0
C0104,R1,1,2024-01-02,15:58:00,Card,30,1,0
C0105,R1,1,2024-01-02,23:42:00,Cash,0,2,1
C0106,R1,1,2024-01-02,21:51:00,Cash,20,2,0
C0107,R1,1,2024-01-02,13:52:00,Cash,0,3,1
C0108,R1,1,2024-01-02,20:56:00,Cash,0,3,1
C0109,R1,1,2024-01-02,19:34:00,Cash,30,1,1
C0110,R1,1,2024-01-02,18:38:00,Card,40,3,1
C0111,R1,1,2024-01-02,20:07:00,Card,0,3,1
C0112,R1,1,2024-01-02,16:55:00,Cash,30,2,1
C0113,R1,1,2024-01-03,15:51:00,Cash,30,1,1
C0114,R1,1,2024-01-03,23:58:00,Cash,10,2,0
C0115,R1,1,2024-01-03,11:03:00,Card,999,2,0
C0116,R1,1,2024-01-03,20:29:00,Cash,0,1,1
C0117,R1,1,2024-01-03,21:02:00,Cash,40,2,1
C0118,R1,1,2024-01-03,20:49:00,Card,0,1,1
C0119,R1,1,2024-01-03,13:55:00,Cash,30,3,1
C0120,R1,1,2024-01-03,13:45:00,Cash,10,2,0
C0121,R1,1,2024-01-03,11:45:00,Card,0,3,0
C0122,R1,1,2024-01-03,16:02:00,Cash,30,1,0
C0123,R1,1,2024-01-03,12:40:00,Card,30,1,0
C0124,R1,1,2024-01-03,20:07:00,Cash,0,2,1
C0125,R1,1,2024-01-03,19:27:00,Cash,40,3,0
C0126,R1,1,2024-01-03,11:09:00,Cash,0,3,1
C0127,R1,1,2024-01-03,17:51:00,Card,20,1,1
C0128,R1,1,2024-01-03,17:31:00,Card,20,1,1
C0129,R1,1,2024-01-03,18:09:00,Card,0,3,0
C0130,R1,1,2024-01-03,16:04:00,Card,20,3,1
C0131,R1,1,2024-01-03,10:58:00,Card,20,1,1
C0132,R1,1,2024-01-03,17:08:00,Card,999,2,1
C0133,R1,1,2024-01-03,12:57:00,Card,30,2,1
C0134,R1,1,2024-01-03,11:05:00,Card,30,3,1
C0135,R1,1,2024-01-03,18:59:00,Card,0,1,0
C0136,R1,1,2024-01-03,14:05:00,,0,1,1
C0137,R1,1,2024-01-03,19:06:00,Card,0,3,0
C0138,R1,1,2024-01-03,10:51:00,Cash,10,1,0
C0139,R1,1,2024-01-03,18:42:00,Cash,0,2,1
C0140,R1,1,2024-01-03,10:59:00,Card,20,2,0
C0141,R1,1,2024-01-03,18:45:00,Card,0,2,1
C0142,R1,1,2024-01-03,22:02:00,Cash,0,1,1
C0143,R1,1,2024-01-03,10:25:00,Cash,10,2,1
C0144,R1,1,2024-01-03,20:13:00,Card,20,2,0
C0145,R1,1,2024-01-03,14:31:00,Card,0,3,0
C0146,R1,1,2024-01-03,17:23:00,Cash,40,1,1
C0147,R1,1,2024-01-03,20:30:00,Cash,40,3,0
C0148,R1,1,2024-01-03,22:08:00,Card,10,2,1
C0149,R1,1,2024-01-03,18:58:00,Card,30,2,0
C0150,R1,1,2024-01-03,21:48:00,Card,40,1,1
C0151,R1,1,2024-01-03,22:38:00,Cash,40,2,0
C0152,R1,1,2024-01-03,13:43:00,Card,0,3,1
C0153,R1,1,2024-01-03,17:38:00,Cash,30,2,1
C0154,R1,1,2024-01-03,14:58:00,Card,0,3,0
C0155,R1,1,2024-01-03,22:02:00,Card,0,3,1
C0156,R1,1,2024-01-03,13:34:00,Cash,0,3,1
C0157,R1,1,2024-01-03,18:17:00,Card,0,3,0
C0158,R1,1,2024-01-03,12:55:00,Card,10,1,0
C0159,R1,1,2024-01-03,19:06:00,Card,0,3,1
C0160,R1,1,2024-01-03,18:11:00,Card,20,1,0
C0161,R1,1,2024-01-03,17:03:00,Cash,0,2,1
C0162,R1,1,2024-01-03,21:13:00,Card,40,1,1
C0163,R1,1,2024-01-03,15:04:00,Cash,40,1,1
C0164,R1,1,2024-01-03,22:53:00,Card,0,3,1
C0165,R1,1,2024-01-03,16:54:00,Card,30,2,1
C0166,R1,1,2024-01-03,11:48:00,,0,2,1
C0167,R1,1,2024-01-03,18:58:00,Cash,10,2,1
C0168,R1,1,2024-01-03,22:14:00,Cash,0,3,1
C0169,R1,1,2024-01-04,23:43:00,Cash,10,2,1
C0170,R1,1,2024-01-04,21:59:00,Card,30,2,0
C0171,R1,1,2024-01-04,21:05:00,Cash,40,2,1
C0172,R1,1,2024-01-04,10:33:00,Cash,0,2,1
C0173,R1,1,2024-01-04,13:32:00,Cash,30,2,0
C0174,R1,1,2024-01-04,10:26:00,Cash,40,3,1
C0175,R1,1,2024-01-04,12:59:00,Cash,20,3,0
C0176,R1,1,2024-01-04,17:05:00,Card,0,3,0
C0177,R1,1,2024-01-04,16:58:00,Card,0,1,0
C0178,R1,1,2024-01-04,17:53:00,Card,0,2,0
C0179,R1,1,2024-01-04,12:29:00,Card,0,1,0
C0180,R1,1,2024-01-04,22:40:00,Card,0,2,1
C0181,R1,1,2024-01-04,21:09:00,Cash,0,3,0
C0182,R1,1,2024-01-04,22:11:00,Card,30,3,0
C0183,R1,1,2024-01-04,10:55:00,Card,40,3,1
C0184,R1,1,2024-01-04,14:45:00,Cash,30,2,1
C0185,R1,1,2024-01-04,19:46:00,Cash,40,3,0
C0186,R1,1,2024-01-04,21:40:00,Card,0,1,0
C0187,R1,1,2024-01-04,19:35:00,Card,0,3,1
C0188,R1,1,2024-01-04,23:36:00,Cash,0,1,1
C0189,R1,1,2024-01-04,10:53:00,Cash,40,2,0
C0190,R1,1,2024-01-04,21:36:00,Card,999,2,0
C0191,R1,1,2024-01-04,16:35:00,Cash,40,3,1
C0192,R1,1,2024-01-04,14:09:00,Card,0,1,1
C0193,R1,1,2024-01-04,20:32:00,Cash,10,2,1
C0194,R1,1,2024-01-04,18:51:00,Card,0,3,0
C0195,R1,1,2024-01-04,14:25:00,Card,0,1,1
C0196,R1,1,2024-01-04,18:28:00,Cash,0,2,0
C0197,R1,1,2024-01-04,21:57:00,Cash,0,2,1
C0198,R1,1,2024-01-04,13:36:00,Cash,0,2,1
C0199,R1,1,2024-01-04,11:42:00,Card,0,2,1
C0200,R1,1,2024-01-04,13:01:00,Card,0,2,1
C0201,R1,1,2024-01-04,16:27:00,Card,20,3,1
C0202,R1,1,2024-01-04,10:47:00,Card,20,2,1
C0203,R1,1,2024-01-04,20:10:00,Cash,0,3,1
C0204,R1,1,2024-01-04,11:00:00,Card,999,3,0
C0205,R1,1,2024-01-04,11:35:00,Card,0,2,0
C0206,R1,1,2024-01-04,20:02:00,Card,0,3,1
C0207,R1,1,2024-01-04,11:01:00,Card,10,3,0
C0208,R1,1,2024-01-04,22:51:00,Cash,0,1,0
C0209,R1,1,2024-01-04,22:09:00,Cash,0,3,0
C0210,R1,1,2024-01-04,17:46:00,Cash,0,1,1
C0211,R1,1,2024-01-04,16:24:00,Card,10,3,0
C0212,R1,1,2024-01-04,21:23:00,Card,30,2,1
C0213,R1,1,2024-01-04,14:10:00,Cash,10,1,1
C0214,R1,1,2024-01-04,11:23:00,Card,40,2,1
C0215,R1,1,2024-01-04,13:09:00,Card,0,2,1
C0216,R1,1,2024-01-04,12:06:00,Cash,40,1,0
C0217,R1,1,2024-01-04,18:46:00,Card,40,2,1
C0218,R1,1,2024-01-04,22:28:00,Card,0,2,1
C0219,R1,1,2024-01-04,21:23:00,Cash,20,2,0
C0220,R1,1,2024-01-04,20:59:00,Cash,0,3,0
C0221,R1,1,2024-01-04,11:48:00,Cash,0,1,1
C0222,R1,1,2024-01-04,19:47:00,Cash,0,1,0
C0223,R1,1,2024-01-04,14:34:00,Card,30,3,1
C0224,R1,1,2024-01-04,15:29:00,Card,40,2,0
C0225,R1,1,2024-01-05,23:36:00,Card,999,3,1
C0226,R1,1,2024-01-05,11:48:00,Card,40,3,1
C0227,R1,1,2024-01-05,16:39:00,Cash,0,2,1
C0228,R1,1,2024-01-05,23:45:00,Cash,0,2,1
C0229,R1,1,2024-01-05,20:28:00,Card,40,1,0
C0230,R1,1,2024-01-05,18:37:00,Cash,0,1,1
C0231,R1,1,2024-01-05,17:51:00,Cash,10,3,0
C0232,R1,1,2024-01-05,20:32:00,Cash,40,1,0
C0233,R1,1,2024-01-05,18:22:00,Card,0,3,0
C0234,R1,1,2024-01-05,15:05:00,Cash,0,2,1
C0235,R1,1,2024-01-05,15:50:00,Cash,20,2,0
C0236,R1,1,2024-01-05,18:06:00,Cash,20,2,0
C0237,R1,1,2024-01-05,21:41:00,Card,0,2,0
C0238,R1,1,2024-01-05,14:25:00,Cash,40,2,1
C0239,R1,1,2024-01-05,17:31:00,Cash,0,1,0
C0240,R1,1,2024-01-05,16:00:00,Card,40,3,1
C0241,R1,1,2024-01-05,12:08:00,Cash,0,3,1
C0242,R1,1,2024-01-05,13:59:00,Cash,0,1,0
C0243,R1,1,2024-01-05,13:05:00,Card,10,3,1
C0244,R1,1,2024-01-05,20:27:00,Cash,0,2,1
C0245,R1,1,2024-01-05,11:17:00,Cash,0,3,1
C0246,R1,1,2024-01-05,19:48:00,Cash,10,3,0
C0247,R1,1,2024-01-05,22:06:00,Card,0,2,0
C0248,R1,1,2024-01-05,18:21:00,Card,30,2,0
C0249,R1,1,2024-01-05,20:36:00,Card,20,1,1
C0250,R1,1,2024-01-05,17:58:00,Cash,0,3,1
C0251,R1,1,2024-01-05,11:48:00,Cash,20,2,0
C0252,R1,1,2024-01-05,19:02:00,Cash,30,2,1
C0253,R1,1,2024-01-05,19:58:00,Cash,40,2,0
C0254,R1,1,2024-01-05,14:15:00,Card,10,2,1
C0255,R1,1,2024-01-05,20:23:00,Card,20,1,1
C0256,R1,1,2024-01-05,21:27:00,Card,0,3,0
C0257,R1,1,2024-01-05,21:40:00,Card,0,2,1
C0258,R1,1,2024-01-05,14:38:00,Cash,0,1,1
C0259,R1,1,2024-01-05,18:28:00,Cash,0,1,0
C0260,R1,1,2024-01-05,22:11:00,Cash,0,1,1
C0261,R1,1,2024-01-05,17:39:00,Cash,0,2,0
C0262,R1,1,2024-01-05,20:45:00,Cash,30,1,0
C0263,R1,1,2024-01-05,18:24:00,Card,10,2,1
C0264,R1,1,2024-01-05,19:48:00,Card,0,1,0
C0265,R1,1,2024-01-05,14:06:00,Cash,40,2,1
C0266,R1,1,2024-01-05,22:31:00,Cash,0,1,0
C0267,R1,1,2024-01-05,14:18:00,Card,10,3,0
C0268,R1,1,2024-01-05,13:46:00,Card,20,3,1
C0269,R1,1,2024-01-05,16:45:00,Cash,20,2,1
C0270,R1,1,2024-01-05,13:35:00,Cash,20,2,0
C0271,R1,1,2024-01-05,15:41:00,Cash,20,2,1
C0272,R1,1,2024-01-05,13:51:00,Cash,0,2,1
C0273,R1,1,2024-01-05,21:18:00,Cash,0,3,0
C0274,R1,1,2024-01-05,14:42:00,Cash,20,1,0
C0275,R1,1,2024-01-05,15:55:00,Card,0,2,0
C0276,R1,1,2024-01-05,10:48:00,Card,0,2,1
C0277,R1,1,2024-01-05,21:09:00,Card,0,3,1
C0278,R1,1,2024-01-05,17:22:00,Card,30,2,0
C0279,R1,1,2024-01-05,16:28:00,Card,0,1,1
C0280,R1,1,2024-01-05,12:24:00,Card,20,3,0
C0281,R1,1,2024-01-05,17:00:00,Cash,0,2,0
C0282,R1,1,2024-01-05,17:27:00,Cash,0,1,1
C0283,R1,1,2024-01-05,16:07:00,Cash,0,1,1
C0284,R1,1,2024-01-05,18:13:00,Card,40,1,0
C0285,R1,1,2024-01-05,13:55:00,Card,999,2,0
C0286,R1,1,2024-01-05,21:14:00,Cash,0,1,0
C0287,R1,1,2024-01-05,18:40:00,Card,30,3,0
C0288,R1,1,2024-01-05,22:02:00,Card,0,1,0
C0289,R1,1,2024-01-05,12:29:00,Card,20,1,1
C0290,R1,1,2024-01-05,12:57:00,Card,999,2,0
C0291,R1,1,2024-01-05,11:18:00,Card,0,1,0
C0292,R1,1,2024-01-05,20:29:00,Cash,999,1,1
C0293,R1,1,2024-01-05,22:24:00,Card,40,3,1
C0294,R1,1,2024-01-05,18:18:00,Card,20,1,1
C0295,R1,1,2024-01-05,17:47:00,Cash,30,2,1
C0296,R1,1,2024-01-05,13:40:00,Card,0,2,0
C0297,R1,1,2024-01-05,11:15:00,Cash,0,1,1
C0298,R1,1,2024-01-05,23:21:00,Card,40,1,0
C0299,R1,1,2024-01-05,22:34:00,Card,20,1,1
C0300,R1,1,2024-01-05,23:21:00,Card,0,2,1
C0301,R1,1,2024-01-05,20:51:00,Cash,0,2,1
C0302,R1,1,2024-01-05,10:04:00,Cash,40,2,1
C0303,R1,1,2024-01-05,22:48:00,Card,0,2,1
C0304,R1,1,2024-01-05,21:15:00,Card,0,3,1
C0305,R1,1,2024-01-05,12:43:00,Card,0,2,1
C0306,R1,1,2024-01-05,16:20:00,Cash,0,3,1
C0307,R1,1,2024-01-05,17:17:00,Card,0,3,1
C0308,R1,1,2024-01-05,23:08:00,Cash,0,2,0
C0309,R1,1,2024-01-05,22:26:00,Card,0,2,1
C0310,R1,1,2024-01-05,21:40:00,Card,0,2,1
C0311,R1,1,2024-01-05,13:27:00,Cash,0,2,1
C0312,R1,1,2024-01-05,20:52:00,Cash,0,3,0
C0313,R1,1,2024-01-05,20:59:00,Card,20,1,1
C0314,R1,1,2024-01-05,22:15:00,Cash,0,1,1
C0315,R1,1,2024-01-05,13:33:00,Card,0,1,1
C0316,R1,1,2024-01-05,18:00:00,Card,0,2,0
C0317,R1,1,2024-01-05,16:59:00,Card,10,2,0
C0318,R1,1,2024-01-05,23:57:00,Card,0,2,1
C0319,R1,1,2024-01-05,19:43:00,Card,40,2,0
C0320,R1,1,2024-01-05,19:53:00,Card,0,3,0
C0321,R1,1,2024-01-05,12:33:00,Card,0,2,1
C0322,R1,1,2024-01-05,14:37:00,Cash,40,2,0
C0323,R1,1,2024-01-05,12:01:00,Card,40,2,0
C0324,R1,1,2024-01-05,17:03:00,Cash,30,3,0
C0325,R1,1,2024-01-05,20:29:00,Card,0,3,1
C0326,R1,1,2024-01-05,22:11:00,Card,0,1,0
C0327,R1,1,2024-01-05,18:34:00,Card,0,1,1
C0328,R1,1,2024-01-05,15:26:00,Card,20,3,1
C0329,R1,1,2024-01-06,10:31:00,Cash,0,3,1
C0330,R1,1,2024-01-06,20:07:00,Cash,30,1,0
C0331,R1,1,2024-01-06,13:47:00,Card,0,1,0
C0332,R1,1,2024-01-06,11:14:00,Card,40,1,0
C0333,R1,1,2024-01-06,15:43:00,Card,0,3,0
C0334,R1,1,2024-01-06,13:43:00,Card,40,1,1
C0335,R1,1,2024-01-06,15:16:00,Cash,10,1,1
C0336,R1,1,2024-01-06,19:45:00,Card,30,2,1
C0337,R1,1,2024-01-06,12:37:00,Card,0,1,1
C0338,R1,1,2024-01-06,12:43:00,Cash,0,3,0
C0339,R1,1,2024-01-06,19:41:00,Cash,0,2,0
C0340,R1,1,2024-01-06,22:56:00,Card,30,2,0
C0341,R1,1,2024-01-06,18:01:00,Cash,0,3,1
C0342,R1,1,2024-01-06,13:18:00,Card,0,1,1
C0343,R1,1,2024-01-06,21:15:00,Card,0,3,1
C0344,R1,1,2024-01-06,22:49:00,Cash,20,2,0
C0345,R1,1,2024-01-06,16:37:00,Card,30,2,0
C0346,R1,1,2024-01-06,21:41:00,Cash,20,3,1
C0347,R1,1,2024-01-06,21:06:00,Cash,0,2,1
C0348,R1,1,2024-01-06,22:12:00,,999,1,0
C0349,R1,1,2024-01-06,23:55:00,Cash,0,2,0
C0350,R1,1,2024-01-06,23:02:00,Card,0,2,1
C0351,R1,1,2024-01-06,23:46:00,Cash,30,3,1
C0352,R1,1,2024-01-06,17:23:00,Card,0,3,0
C0353,R1,1,2024-01-06,13:43:00,Card,10,3,0
C0354,R1,1,2024-01-06,20:39:00,Card,0,2,1
C0355,R1,1,2024-01-06,12:23:00,Cash,0,3,0
C0356,R1,1,2024-01-06,13:21:00,Cash,0,2,0
C0357,R1,1,2024-01-06,10:56:00,Cash,40,3,0
C0358,R1,1,2024-01-06,10:49:00,Card,20,1,0
C0359,R1,1,2024-01-06,19:37:00,Card,20,2,1
C0360,R1,1,2024-01-06,20:02:00,Card,0,3,0
C0361,R1,1,2024-01-06,17:25:00,Cash,20,3,0
C0362,R1,1,2024-01-06,16:19:00,Cash,0,1,0
C0363,R1,1,2024-01-06,14:16:00,Card,10,3,0
C0364,R1,1,2024-01-06,23:10:00,Card,0,2,0
C0365,R1,1,2024-01-06,10:22:00,Card,20,1,1
C0366,R1,1,2024-01-06,12:59:00,Card,0,1,0
C0367,R1,1,2024-01-06,20:30:00,Card,0,3,1
C0368,R1,1,2024-01-06,18:23:00,Card,40,1,0
C0369,R1,1,2024-01-06,17:27:00,Card,0,2,1
C0370,R1,1,2024-01-06,20:06:00,Card,0,3,0
C0371,R1,1,2024-01-06,14:17:00,Card,0,2,0
C0372,R1,1,2024-01-06,14:53:00,Card,0,2,1
C0373,R1,1,2024-01-06,13:14:00,Card,30,3,0
C0374,R1,1,2024-01-06,11:17:00,Card,0,2,1
C0375,R1,1,2024-01-06,18:49:00,Card,20,3,1
C0376,R1,1,2024-01-06,14:37:00,Cash,0,2,1
C0377,R1,1,2024-01-06,10:17:00,Card,0,1,0
C0378,R1,1,2024-01-06,18:18:00,Cash,10,2,1
C0379,R1,1,2024-01-06,11:22:00,Card,0,1,1
C0380,R1,1,2024-01-06,15:47:00,Card,20,2,0
C0381,R1,1,2024-01-06,17:49:00,Cash,0,1,0
C0382,R1,1,2024-01-06,11:45:00,,0,2,0
C0383,R1,1,2024-01-06,12:21:00,Card,0,1,1
C0384,R1,1,2024-01-06,12:19:00,Card,10,1,0
C0385,R1,1,2024-01-06,22:12:00,Cash,0,1,1
C0386,R1,1,2024-01-06,17:36:00,,30,3,0
C0387,R1,1,2024-01-06,13:36:00,Cash,40,1,0
C0388,R1,1,2024-01-06,12:57:00,Cash,30,2,0
C0389,R1,1,2024-01-06,15:45:00,Card,40,2,1
C0390,R1,1,2024-01-06,20:09:00,Cash,30,1,1
C0391,R1,1,2024-01-06,17:12:00,Cash,999,3,1
C0392,R1,1,2024-01-06,18:40:00,Cash,0,3,1
C0393,R1,1,2024-01-06,17:43:00,,0,1,0
C0394,R1,1,2024-01-06,12:20:00,Card,0,3,0
C0395,R1,1,2024-01-06,13:23:00,Card,0,3,1
C0396,R1,1,2024-01-06,11:04:00,Cash,10,2,1
C0397,R1,1,2024-01-06,21:07:00,Card,0,2,0
C0398,R1,1,2024-01-06,14:34:00,Cash,20,3,1
C0399,R1,1,2024-01-06,16:24:00,Cash,999,3,1
C0400,R1,1,2024-01-06,11:53:00,Card,0,2,0
C0401,R1,1,2024-01-06,16:19:00,Card,0,3,0
C0402,R1,1,2024-01-06,22:18:00,Card,0,2,0
C0403,R1,1,2024-01-06,22:25:00,Cash,0,1,1
C0404,R1,1,2024-01-06,14:29:00,Card,0,3,1
C0405,R1,1,2024-01-06,21:35:00,Card,40,3,0
C0406,R1,1,2024-01-06,23:00:00,Cash,999,2,0
C0407,R1,1,2024-01-06,19:44:00,Cash,0,2,1
C0408,R1,1,2024-01-06,10:51:00,,0,3,1
C0409,R1,1,2024-01-06,10:15:00,Cash,40,2,0
C0410,R1,1,2024-01-06,12:14:00,Card,0,3,1
C0411,R1,1,2024-01-06,10:13:00,Card,0,2,0
C0412,R1,1,2024-01-06,12:43:00,Cash,0,2,0
C0413,R1,1,2024-01-06,17:15:00,,0,1,1
C0414,R1,1,2024-01-06,19:59:00,Cash,0,3,1
C0415,R1,1,2024-01-06,15:21:00,Card,0,1,1
C0416,R1,1,2024-01-06,11:21:00,Cash,0,1,0
C0417,R1,1,2024-01-06,21:40:00,Cash,0,2,1
C0418,R1,1,2024-01-06,21:03:00,Cash,10,1,1
C0419,R1,1,2024-01-06,16:17:00,Cash,30,1,0
C0420,R1,1,2024-01-06,15:35:00,Card,0,1,0
C0421,R1,1,2024-01-06,13:13:00,Cash,40,2,0
C0422,R1,1,2024-01-06,18:43:00,Card,0,2,1
C0423,R1,1,2024-01-06,14:43:00,Cash,0,3,0
C0424,R1,1,2024-01-06,22:18:00,Card,0,1,1
C0425,R1,1,2024-01-06,15:09:00,Cash,0,3,0
C0426,R1,1,2024-01-06,17:48:00,Cash,0,3,1
C0427,R1,1,2024-01-06,19:09:00,Card,0,1,0
C0428,R1,1,2024-01-06,21:48:00,Card,0,1,1
C0429,R1,1,2024-01-06,18:47:00,Cash,10,2,0
C0430,R1,1,2024-01-06,10:51:00,Cash,0,3,1
C0431,R1,1,2024-01-06,18:48:00,Cash,0,2,0
C0432,R1,1,2024-01-06,23:47:00,Card,0,2,1
C0433,R1,1,2024-01-06,23:18:00,Card,30,1,1
C0434,R1,1,2024-01-06,11:53:00,Card,40,2,1
C0435,R1,1,2024-01-06,22:42:00,Cash,30,2,1
C0436,R1,1,2024-01-06,13:33:00,Card,0,2,0
C0437,R1,1,2024-01-06,10:36:00,Cash,0,3,0
C0438,R1,1,2024-01-06,13:47:00,Card,40,3,1
C0439,R1,1,2024-01-06,18:28:00,Card,0,3,1
C0440,R1,1,2024-01-06,18:09:00,Card,0,3,0
C0441,R1,1,2024-01-06,12:07:00,Card,10,1,0
C0442,R1,1,2024-01-06,18:22:00,Card,999,2,0
